step,KE,PE,T_insta,P_insta
344,277.6606,-299.9162,87.2786,3.0756
345,277.7071,-300.0208,87.2932,3.0725
346,277.8732,-300.2518,87.3454,3.0676
347,278.1719,-300.6207,87.4393,3.0607
348,278.6129,-301.1352,87.5779,3.0518
349,279.2016,-301.7984,87.763,3.0408
350,279.9388,-302.6087,87.9947,3.0278
351,280.8202,-303.559,88.2718,3.0128
352,281.8361,-304.637,88.5911,2.996
353,282.9719,-305.8261,88.9481,2.9777
354,284.2087,-307.1054,89.3369,2.9581
355,285.5242,-308.4514,89.7504,2.9375
356,286.8939,-309.8387,90.1809,2.9163
357,288.2918,-311.2412,90.6204,2.8947
358,289.692,-312.6334,91.0605,2.8732
359,291.0694,-313.9911,91.4935,2.852
360,292.4014,-315.2932,91.9122,2.8314
361,293.668,-316.5211,92.3103,2.8116
362,294.8529,-317.6608,92.6828,2.793
363,295.944,-318.7024,93.0257,2.7755
364,296.9337,-319.6405,93.3368,2.7593
365,297.8187,-320.4739,93.615,2.7444
366,298.5999,-321.2052,93.8606,2.7308
367,299.2817,-321.8403,94.0749,2.7184
368,299.8712,-322.3876,94.2602,2.7072
369,300.3778,-322.8573,94.4194,2.697
370,300.8123,-323.2603,94.556,2.6878
371,301.1856,-323.6076,94.6734,2.6794
372,301.5084,-323.9093,94.7748,2.6718
373,301.7905,-324.1744,94.8635,2.6647
374,302.0398,-324.4101,94.9419,2.6582
375,302.2625,-324.6215,95.0119,2.6522
376,302.4625,-324.8109,95.0747,2.6466
377,302.641,-324.9783,95.1308,2.6414
378,302.7963,-325.1206,95.1796,2.6367
379,302.9242,-325.2326,95.2198,2.6326
380,303.0183,-325.3067,95.2494,2.6291
381,303.07,-325.3335,95.2657,2.6264
382,303.0692,-325.302,95.2654,2.6246
383,303.0046,-325.2011,95.2451,2.6238
384,302.8648,-325.0194,95.2012,2.6242
385,302.6389,-324.7466,95.1302,2.6259
386,302.3174,-324.3741,95.0291,2.629
387,301.8927,-323.8954,94.8956,2.6335
388,301.3597,-323.3074,94.7281,2.6396
389,300.717,-322.6102,94.526,2.647
390,299.9667,-321.8079,94.2902,2.6559
391,299.1148,-320.9085,94.0224,2.666
392,298.1712,-319.9238,93.7258,2.6773
393,297.1497,-318.8693,93.4047,2.6894
394,296.0672,-317.7635,93.0645,2.7022
395,294.9436,-316.6272,92.7113,2.7154
396,293.8003,-315.4823,92.3519,2.7287
397,292.6598,-314.3516,91.9934,2.7418
398,291.5446,-313.2571,91.6428,2.7545
399,290.4764,-312.2198,91.3071,2.7664
400,289.4751,-311.2585,90.9923,2.7774
401,288.5582,-310.3895,90.7041,2.7872
402,287.7408,-309.6263,90.4472,2.7955
403,287.0347,-308.9794,90.2252,2.8024
404,286.4493,-308.4569,90.0412,2.8077
405,285.9912,-308.0639,89.8972,2.8113
406,285.6644,-307.8036,89.7945,2.8132
407,285.471,-307.6769,89.7337,2.8135
408,285.411,-307.683,89.7148,2.8121
409,285.4825,-307.8188,89.7373,2.8091
410,285.6815,-308.0793,89.7998,2.8046
411,286.0016,-308.4567,89.9005,2.7987
412,286.4337,-308.9405,90.0363,2.7916
413,286.9657,-309.5167,90.2035,2.7834
414,287.5817,-310.1677,90.3972,2.7743
415,288.2626,-310.8727,90.6112,2.7648
416,288.9858,-311.6076,90.8385,2.7551
417,289.7259,-312.3459,91.0711,2.7455
418,290.4555,-313.0597,91.3005,2.7364
419,291.1467,-313.7213,91.5178,2.7282
420,291.7722,-314.304,91.7144,2.7212
421,292.3064,-314.7841,91.8823,2.7157
422,292.7275,-315.1417,92.0147,2.712
423,293.018,-315.3621,92.106,2.7103
424,293.1664,-315.4371,92.1526,2.7105
425,293.1676,-315.3648,92.153,2.7129
426,293.0229,-315.15,92.1075,2.7172
427,292.7409,-314.8045,92.0189,2.7233
428,292.3364,-314.3464,91.8917,2.731
429,291.8303,-313.7991,91.7327,2.7399
430,291.2485,-313.1902,91.5498,2.7497
431,290.62,-312.5502,91.3522,2.76
432,289.9761,-311.9107,91.1498,2.7705
433,289.3488,-311.3033,90.9526,2.7807
434,288.7683,-310.7569,90.7702,2.7903
435,288.2623,-310.2971,90.6111,2.799
436,287.8537,-309.9442,90.4826,2.8065
437,287.5601,-309.7128,90.3904,2.8126
438,287.393,-309.6111,90.3378,2.8172
