step,KE,PE,T_insta,P_insta
423,291.3786,-315.2751,91.5906,2.6971
424,291.0555,-314.9596,91.4891,2.7028
425,290.6862,-314.5703,91.373,2.71
426,290.2807,-314.1638,91.2455,2.7171
427,289.8569,-313.7381,91.1123,2.7248
428,289.4348,-313.3256,90.9797,2.7324
429,289.0378,-312.9502,90.8549,2.7397
430,288.6896,-312.6351,90.7454,2.7462
431,288.4129,-312.4018,90.6584,2.7518
432,288.227,-312.2671,90.6,2.7562
433,288.1465,-312.2428,90.5747,2.7594
434,288.1796,-312.3338,90.5851,2.7612
435,288.3278,-312.5352,90.6317,2.7619
436,288.5855,-312.8439,90.7127,2.761
437,288.9405,-313.2411,90.8243,2.7592
438,289.3747,-313.7068,90.9608,2.7565
439,289.8661,-314.2175,91.1152,2.7533
440,290.39,-314.7482,91.2799,2.7499
441,290.9212,-315.2738,91.4469,2.7466
442,291.4351,-315.7707,91.6084,2.7438
443,291.9097,-316.2183,91.7576,2.7415
444,292.3258,-316.5995,91.8884,2.74
445,292.6686,-316.9014,91.9961,2.7395
446,292.9272,-317.1157,92.0774,2.7401
447,293.096,-317.239,92.1305,2.7418
448,293.1734,-317.2717,92.1548,2.7446
449,293.1624,-317.2191,92.1514,2.7484
450,293.0699,-317.0897,92.1223,2.7531
451,292.9063,-316.8957,92.0709,2.7585
452,292.685,-316.6514,92.0013,2.7646
453,292.4213,-316.3729,91.9184,2.771
454,292.1321,-316.0777,91.8275,2.7777
455,291.8349,-315.7833,91.7341,2.7843
456,291.5473,-315.5069,91.6437,2.7908
457,291.2858,-315.2643,91.5615,2.7967
458,291.0654,-315.0693,91.4922,2.8021
459,290.8986,-314.9332,91.4398,2.8068
460,290.795,-314.8639,91.4072,2.8105
461,290.7608,-314.8461,91.3965,2.8142
462,290.8071,-314.9284,91.411,2.8161
463,290.9249,-315.0804,91.448,2.8172
464,291.11,-315.2965,91.5062,2.8176
465,291.3552,-315.5528,91.5833,2.8176
466,291.6507,-315.8688,91.6762,2.8167
467,291.9844,-316.2165,91.7811,2.8156
468,292.343,-316.5821,91.8938,2.8142
469,292.7127,-316.952,92.01,2.8128
470,293.08,-317.3131,92.1255,2.8116
471,293.4323,-317.6516,92.2362,2.8109
472,293.7591,-317.7942,92.3389,2.8123
473,294.0555,-318.0709,92.4321,2.8123
474,294.3117,-318.3055,92.5126,2.8128
475,294.5247,-318.4961,92.5796,2.814
476,294.6933,-318.6698,92.6326,2.8151
477,294.8192,-318.7745,92.6722,2.8175
478,294.9034,-318.7715,92.6986,2.8219
479,294.9488,-318.7968,92.7129,2.8255
480,294.9542,-318.782,92.7146,2.8297
481,294.9191,-318.5297,92.7036,2.8356
482,294.841,-318.4288,92.679,2.8411
483,294.7167,-318.2797,92.6399,2.8471
484,294.5421,-318.0784,92.585,2.8539
485,294.3134,-317.8214,92.5132,2.8615
486,294.0278,-317.5065,92.4234,2.8697
487,293.6837,-317.1331,92.3152,2.8788
488,293.2813,-316.6038,92.1888,2.8902
489,292.8252,-316.1205,92.0454,2.9007
490,292.3159,-315.5862,91.8853,2.9118
491,291.758,-315.0057,91.7099,2.9236
492,291.1564,-314.3845,91.5208,2.936
493,290.517,-313.7282,91.3198,2.9487
494,289.8457,-313.1154,91.1088,2.9606
495,289.1498,-312.4093,90.8901,2.974
496,288.4354,-311.6766,90.6655,2.988
497,287.7104,-310.9495,90.4376,3.0016
498,286.9835,-310.225,90.2091,3.0151
499,286.264,-309.5131,89.983,3.0284
500,285.5619,-308.8233,89.7623,3.0414
501,284.8867,-308.1649,89.55,3.0539
502,284.2469,-307.535,89.3489,3.0663
503,283.6497,-306.9609,89.1612,3.0777
504,283.0995,-306.4352,88.9882,3.0884
505,282.5985,-305.9591,88.8308,3.0983
506,282.1469,-305.5324,88.6888,3.1075
507,281.743,-305.1513,88.5618,3.1162
508,281.3837,-304.8132,88.4489,3.1242
509,281.0657,-304.5148,88.3489,3.1317
510,280.7859,-304.2532,88.261,3.1386
511,280.5418,-304.0265,88.1843,3.145
512,280.3319,-303.8334,88.1183,3.1509
513,280.155,-303.7093,88.0627,3.1554
514,280.0105,-303.7272,88.0172,3.1584
515,279.8986,-303.6253,87.9821,3.163
516,279.8178,-303.5582,87.9567,3.1668
517,279.7634,-303.5769,87.9396,3.1692
518,279.7331,-303.5556,87.93,3.1723
519,279.719,-303.547,87.9256,3.1752
520,279.7138,-303.543,87.924,3.178
521,279.7087,-303.5454,87.9224,3.1802
522,279.6947,-303.5231,87.918,3.1831
523,279.6618,-303.4997,87.9077,3.1854
524,279.6018,-303.4223,87.8888,3.1888
525,279.5052,-303.3046,87.8584,3.1925
